Country,Longitude,Latitude
Bulgaria,25.19511095327711,42.7531187620217
Greece,22.719813447095053,39.066715899713955
Turkey,35.116900150938406,39.06837194061471
Albania,20.03242643144321,41.141353306048785
Croatia,16.566189771645533,45.01623399593114
Switzerland,8.118300613385486,46.79173768366762
Luxembourg,5.965223432343999,49.76570507415103
Belgium,4.580834113854935,50.65244095902296
Netherlands,5.512217100965399,52.298700374441786
Portugal,-8.055765588295687,39.63404977497817
Spain,-3.6170206023873743,40.348656106226734
Ireland,-8.010236544877012,53.18059120995006
France,165.53447460087543,-21.26135761252651
Solomon Islands,159.9666154474296,-8.852497470848528
New Zealand,172.70192594405574,-41.662578757158684
Australia,134.50277547536595,-25.730654779726077
Sri Lanka,80.66723574931648,7.700534417248105
China,103.88361230063249,36.555066531858685
Taiwan,120.97480073748623,23.740964979784938
Italy,12.140788372235871,42.751183052964265
Denmark,9.876372937675002,56.06393446179454
United Kingdom,-2.8531353951805545,53.91477348053706
Iceland,-18.761028770831768,65.07427633529105
Azerbaijan,47.553909558006055,40.22069054766167
Georgia,43.48154265409026,42.16201501415301
Philippines,122.90267236988682,11.763799362297663
Malaysia,109.6981484486297,3.7255884257737155
Brunei,114.91510877393951,4.690250542520635
Slovenia,14.938152320795732,46.12542205901039
Finland,26.211764610296353,64.50409403963651
Slovakia,19.507657147433708,48.7267113517275
Czechia,15.334558102365815,49.775245294369
Eritrea,38.67818692786484,15.427276751412931
Japan,138.06496213270776,37.66311081170466
Paraguay,-58.387387833505706,-23.248041946292087
Yemen,47.535044758543485,15.913231950143004
Saudi Arabia,44.51636376826477,24.123289839105293
Antarctica,20.571000569842635,-80.49198288284343
Northern Cyprus,33.5582859592249,35.273957681259716
Cyprus,33.03955380295407,34.90706085094344
Morocco,-8.420479544549693,29.885394698302058
Egypt,29.844461513124415,26.50661999974957
Libya,17.974352779160352,26.997460407020338
Ethiopia,39.551255792937745,8.653999188132575
Djibouti,42.4980197360445,11.773044395533926
Somaliland,46.23074953490769,9.757971805222988
Uganda,32.35755031998686,1.2954855035097297
Rwanda,29.91896392224289,-2.0135144658341346
Bosnia and Herzegovina,17.816883270390086,44.1807677629747
North Macedonia,21.697903375280845,41.60592964714007
Republic of Serbia,20.819651926382583,44.23303653365162
Montenegro,19.2861817215929,42.78903960655908
Kosovo,20.895355721342227,42.579367131816994
Trinidad and Tobago,-61.33036691444967,10.428237089201879
South Sudan,30.198617582461907,7.292890133516845
